DATE,T2M,TMIN,TMAX,TDEW,RH2M,RAIN,WIND,SRAD,Evapotranspiration
1981-01-29,26.2,20.2,33.1,17.0,60.7,0.0,2.4,,3.7939
1981-01-30,26.4,19.8,33.4,15.8,56.4,0.0,1.8,,3.3952
1981-01-31,26.7,20.1,34.4,15.6,55.6,0.0,1.5,,3.168
1981-02-01,27.1,21.9,33.9,18.2,63.2,0.0,1.4,,2.7222
1981-02-02,27.7,23.3,34.0,19.8,66.2,0.0,1.4,,2.5853
1981-02-03,27.6,23.5,33.7,18.0,60.7,0.0,1.1,,2.827
1981-02-04,27.2,21.8,34.0,15.5,53.6,0.0,1.4,,3.4189
1981-02-05,26.8,19.8,34.0,15.4,53.8,0.0,1.9,,3.66
1981-02-06,28.0,21.8,35.1,18.2,58.2,1.3,1.5,,3.3624
1981-02-07,28.5,22.9,35.5,19.6,62.0,0.1,1.8,,3.238
1981-02-08,28.8,23.9,35.4,19.2,59.9,0.1,1.7,,3.252
1981-02-09,28.4,23.9,34.7,19.2,62.1,0.0,1.3,,2.7341
1981-02-10,28.2,23.8,34.5,20.3,65.4,0.0,1.7,,2.3355
1981-02-11,28.9,24.4,35.6,20.3,64.0,0.0,1.2,,2.5404
1981-02-12,28.3,24.0,34.4,20.4,65.7,0.7,1.7,,2.7308
1981-02-13,27.7,24.2,33.2,21.1,69.6,0.9,1.8,,2.322
1981-02-14,28.1,24.2,34.3,20.8,67.4,0.0,1.8,,2.4149
1981-02-15,29.0,24.4,35.8,19.9,61.8,0.2,1.7,,2.7972
1981-02-16,29.0,23.8,36.1,17.0,54.9,0.6,1.5,,3.5754
1981-02-17,28.3,23.0,35.5,15.4,52.6,0.5,1.2,,3.6574
1981-02-18,27.6,21.2,35.4,13.9,50.4,0.2,1.9,,3.4512
1981-02-19,27.9,21.7,35.3,12.6,46.2,0.0,1.4,,3.9001
1981-02-20,28.2,20.8,36.4,11.2,41.1,0.9,1.5,,4.006
1981-02-21,28.3,20.4,37.0,11.5,41.2,0.0,1.5,,4.0533
1981-02-22,28.6,21.5,36.6,13.2,44.5,0.0,1.5,,3.6773
1981-02-23,28.2,20.9,35.9,14.5,48.6,0.1,1.7,,3.8104
1981-02-24,28.7,22.4,36.2,15.5,50.0,0.4,1.6,,3.2109
1981-02-25,29.1,23.3,36.9,16.6,53.5,0.1,1.4,,3.266
1981-02-26,29.6,22.2,38.2,13.0,44.5,0.0,1.3,,3.338
1981-02-27,29.4,22.4,37.9,14.6,49.3,0.0,1.5,,2.7453
1981-02-28,29.5,23.0,37.9,16.0,52.6,0.0,1.7,,2.9949
1981-03-01,29.5,24.1,37.2,18.1,58.0,0.0,1.3,,2.783
1981-03-02,30.2,23.6,38.1,16.4,51.7,0.0,1.2,,3.1088
1981-03-03,30.3,23.1,38.6,13.0,41.8,0.0,1.8,,3.5666
1981-03-04,30.2,22.2,38.7,12.6,40.6,0.0,1.6,,4.1809
1981-03-05,29.7,24.3,36.8,13.2,42.2,0.0,1.7,,4.1881
1981-03-06,29.9,23.1,37.5,15.1,43.7,0.0,2.0,,4.1104
1981-03-07,30.6,23.9,37.9,18.0,50.1,0.0,2.2,,3.8303
1981-03-08,31.1,25.5,38.4,19.0,52.4,0.1,1.9,,3.5728
1981-03-09,30.4,26.1,37.3,20.0,58.1,1.0,1.7,,2.7244
1981-03-10,30.1,25.6,36.8,20.9,61.6,0.7,1.9,,2.6517
1981-03-11,29.8,25.7,35.9,20.9,62.0,2.9,1.9,,2.737
1981-03-12,29.6,25.9,35.5,21.0,62.5,2.4,1.7,,3.3792
1981-03-13,30.3,25.1,37.2,19.9,58.3,1.0,1.6,,3.5175
1981-03-14,30.3,24.7,37.4,18.4,54.4,1.2,1.8,,3.3243
1981-03-15,29.9,24.7,36.8,20.6,62.0,6.0,2.1,,3.589
1981-03-16,29.4,24.8,35.4,18.8,57.2,0.7,1.7,,3.4138
1981-03-17,28.1,24.9,32.4,21.8,70.1,4.6,1.6,,2.7939
1981-03-18,29.5,25.3,35.0,22.0,67.1,0.2,1.7,,3.0428
